District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
11,930,1992,35.6,24.525,127.5,80.5,1.275,3.075,6.15,6
12,52270,1992,40.025,23,55.75,65.25,1.975,2.875,7.825,14
13,1710,1992,35.7,24.6,220,82.25,1.375,3.2,6.375,3
14,37110,1992,40.6,22.25,54.75,64.75,2.05,2.525,8.15,20
15,110,1992,36.775,23.25,150,75.25,1.15,3.125,7.225,63
16,283200,1992,36.55,21.525,170.5,73.25,2,3.625,7.325,34
17,1560,1992,34.85,20.8,380.5,78.75,1.3,4.875,5.925,35
18,97890,1992,37.6,22.85,131,72.75,1.825,2.875,6.975,10
1,4110,1993,35.1,22.575,281.25,84,1.425,4.3,7.125,4
2,21770,1993,35.425,21.7,201.5,76.25,2,3.8,6.675,20
3,0,1993,33.6,22.325,442.75,79.75,3,3.9,6.45,6
