District,Area,YEAR,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Bright Sunshine,ALT
12,519180,1983,28.96666667,13.5,13.33333333,72.66666667,0.833333333,1.43333333333333,7.026436782,14
13,697755,1983,30.2,16.6333333333333,45.33333333,69.33333333,1.866666667,1.83333333333333,6.843678161,3
14,1066310,1983,28.6,13.3,18.33333333,76.33333333,1.333333333,1.4,7.966666667,20
15,72070,1983,29.16666667,16.6333333333333,64.66666667,76,0.633333333,3.73333333333333,7.448148148,63
16,1385700,1983,27.5,12.8333333333333,18.66666667,83.33333333,0.533333333,1.06666666666667,7.733333333,34
17,1157365,1983,29.1,14.5,9.333333333,72.66666667,0.966666667,1.5,8.3,35
1,921770,1984,30.4,14.0666666666667,0.666666667,83.66666667,0.266666667,1.23333333333333,7.966666667,4
2,617840,1984,29.63333333,14.3666666666667,0.666666667,73,0.6,0.933333333333333,8.233333333,20
3,552520,1984,31.03333,16,6.333333,73.66667,1.666667,1.366667,8.633333,6
4,877415,1984,31.23333333,14.2666666666667,1.666666667,75.66666667,0.866666667,0.966666666666667,7.433333333,10
5,634450,1984,30.4,15.9,2.666666667,70,0.266666667,1.53333333333333,8.533333333,9
6,870395,1984,28.4,12.4333333333333,1.333333333,67.66666667,0.666666667,0.866666666666667,6.554666667,37
7,537420,1984,30.1,15,12.33333333,75.33333333,0.5,0.666666666666667,7.551724138,9
8,516120,1984,30.8,14.1,15.33333333,71.66666667,0.6,1.43333333333333,6.933333333,7
9,1011125,1984,30.26666667,14.1333333333333,5,81.33333333,1.133333333,1.53333333333333,8.633333333,4
11,733905,1984,30.5,15.4333333333333,0,77,0.366666667,0.8,7.517241379,6
12,414165,1984,29.26666667,13.4,0.666666667,70,0.333333333,1,7.213793103,14
13,721875,1984,31.26666667,16.5,1.666666667,80,0.766666667,1.13333333333333,6.824137931,3
14,1013430,1984,29.13333333,13.3333333333333,1.333333333,74.33333333,1.366666667,1.03333333333333,8.4,20
15,15540,1984,31.16666667,16.7666666666667,0.666666667,72.66666667,0.2,1.76666666666667,7.448148148,63
16,1386395,1984,28.36666667,12.5333333333333,1.666666667,81.33333333,0.833333333,0.866666666666667,7.7,34
17,992270,1984,30.3,14.2,23.66666667,73.66666667,0.8,1.5,8.5,35
1,978000,1985,30.5,14.1666666666667,4.666666667,85,0.266666667,1.23333333333333,7.933333333,4
2,657855,1985,29.83333333,14.3333333333333,2.333333333,73,0.5,0.933333333333333,8.266666667,20
3,544560,1985,29.93333,16.46667,67.33333,74.66667,1.3,1.466667,8.9,6
4,936750,1985,30.86666667,14.5,1.666666667,76.33333333,0.433333333,1.06666666666667,7.433333333,10
5,621540,1985,31.3,16.0333333333333,10.66666667,71,0.266666667,1.36666666666667,7.9,9
6,869605,1985,28.6,13.0333333333333,2.333333333,69.33333333,0.633333333,1.1,6.554666667,37
7,669400,1985,29.66666667,14.8666666666667,1,76.33333333,0.566666667,0.8,7.866666667,9
8,678820,1985,30.8,13.8333333333333,3,73.66666667,0.6,1.5,6.966666667,7
9,1039360,1985,30.43333333,14.0666666666667,6.666666667,79,0.666666667,1.53333333333333,8.133333333,4
11,781080,1985,30.43333333,15.8,5.666666667,79.66666667,0.433333333,1.33333333333333,7.733333333,6
12,458100,1985,29.96666667,13.0333333333333,1,71.33333333,0.533333333,1.1,7.966666667,14
13,751210,1985,30.3,16.4333333333333,33.33333333,76.33333333,0.866666667,1.26666666666667,6.233333333,3
14,1035080,1985,29.6,13.2666666666667,6,76,1.333333333,1,8.133333333,20
15,17015,1985,30.13333333,17.1666666666667,33,75,0.3,2.3,7.448148148,63
16,1408610,1985,27.96666667,13.0333333333333,7,82.33333333,0.533333333,0.733333333333334,7.8,34
17,1131000,1985,29.8,14.8666666666667,8.666666667,73.66666667,0.8,1.5,8.433333333,35
1,984260,1986,30.73333333,15.2,93,86.66666667,0.2,1.56666666666667,8,4
2,632080,1986,30.93333333,15.1333333333333,10.66666667,76.33333333,0.5,1.46666666666667,7.866666667,20
3,620580,1986,30.83333,17.06667,41.66667,74,1.666667,1.4,6.4,6
4,938715,1986,30.36666667,15.5666666666667,45.66666667,78.33333333,0.7,1.1,7.433333333,10
5,695215,1986,30.63333333,16.0333333333333,59.66666667,75.33333333,0.433333333,1.76666666666667,8.133333333,9
6,866875,1986,28.96666667,13.7,12.66666667,70.66666667,0.8,1.56666666666667,6.554666667,37
7,688955,1986,29.83333333,15.8666666666667,50.33333333,78.33333333,0.9,1.4,8.033333333,9
8,663360,1986,30.03333333,15.0666666666667,55.33333333,78,0.833333333,1.73333333333333,6.566666667,7
9,1010110,1986,30.53333333,15.5666666666667,51.66666667,79.33333333,1.1,1.63333333333333,7.966666667,4
11,731965,1986,30.16666667,16.7333333333333,61.66666667,80,0.566666667,1.33333333333333,7.7,6
12,470540,1986,29.36666667,13.5666666666667,10.33333333,79,0.733333333,1.6,7.633333333,14
13,775400,1986,30.3,16.7,19,77.66666667,0.833333333,1.36666666666667,6.766666667,3
14,991505,1986,29.5,14.3333333333333,10.33333333,78.66666667,1.5,1.56666666666667,7.466666667,20
15,16240,1986,30,16.2,48.33333333,79.33333333,0.633333333,1.9,6.220987654,63
16,1391705,1986,28.46666667,13.6666666666667,19.66666667,83.66666667,0.9,1.4,7.7,34
17,1098450,1986,30.33333333,14.0666666666667,36.66666667,75,1.133333333,1.76666666666667,8.366666667,35
1,978440,1987,29.83333333,15.2666666666667,12.33333333,82.66666667,0.166666667,1.5,7.9,4
2,530695,1987,30.36666667,15.0333333333333,7.333333333,76,0.566666667,1.06666666666667,7.8,20
3,642560,1987,30.7,17.5,22,74.33333,1.1,1.533333,8.266667,6
4,870745,1987,30.9,15.7,23.66666667,78.33333333,0.433333333,1.4,8.133333333,10
5,573270,1987,30.46666667,16.3,13.33333333,73.33333333,0.333333333,1.63333333333333,8.066666667,9
6,858205,1987,28.36666667,14.0666666666667,2.666666667,71,0.666666667,1.26666666666667,6.554666667,37
7,687575,1987,29.53333333,15.8666666666667,12.33333333,79.33333333,0.966666667,1.5,8.133333333,9
8,651040,1987,30.3,14.8,5,76.33333333,0.733333333,1.76666666666667,6.2,7
9,905605,1987,30.03333333,15.7666666666667,18.33333333,79.33333333,0.633333333,2.06666666666667,7.833333333,4
11,600730,1987,29.76666667,17.1,16.33333333,80.33333333,0.433333333,1.4,8.266666667,6
12,261755,1987,28,13.4333333333333,3,78,0.933333333,1.26666666666667,7.466666667,14
13,776035,1987,29.76666667,16.8333333333333,36.66666667,80.33333333,1.333333333,1.83333333333333,5.866666667,3
14,858180,1987,29.56666667,14.2,3.333333333,77.33333333,1.133333333,1.33333333333333,7.7,20
15,15660,1987,29.9,16.8666666666667,38,78.33333333,0.566666667,2.2,6.833333333,63
16,1382000,1987,28.36666667,14.2333333333333,2,85.66666667,0.833333333,1.23333333333333,7.766666667,34
17,1048405,1987,30.36666667,15.3333333333333,18.33333333,74,1.4,1.6,7.933333333,35
18,386730,1987,29.06666667,15.2666666666667,18.66666667,76.66666667,1.3,1.7,7.6,10
